loss,accuracy,val_loss,val_accuracy,lr
0.03621906414628029,0.7088143825531006,0.040320638567209244,0.7133040428161621,0.0010000000474974513
0.02989080734550953,0.7751511931419373,0.03835704177618027,0.7133040428161621,0.0010000000474974513
0.02609655261039734,0.8118013739585876,0.038498666137456894,0.7133040428161621,0.0010000000474974513
0.01989889144897461,0.8728238940238953,0.039515797048807144,0.7133040428161621,0.0010000000474974513
0.017425047233700752,0.8815283179283142,0.0398780032992363,0.7133040428161621,0.0010000000474974513
0.015967434272170067,0.8957302570343018,0.038460586220026016,0.7133040428161621,0.0010000000474974513
0.014580191113054752,0.90470951795578,0.04200216010212898,0.7133040428161621,0.0010000000474974513
0.013713272288441658,0.9109400510787964,0.03647574037313461,0.7133040428161621,0.0010000000474974513
0.013206961564719677,0.9175370931625366,0.050208352506160736,0.7133040428161621,0.0010000000474974513
0.012542136013507843,0.9205607771873474,0.05450306087732315,0.7133040428161621,0.0010000000474974513
0.012093069963157177,0.9265164136886597,0.04588408023118973,0.7133040428161621,0.0010000000474974513
0.010996497236192226,0.9319223165512085,0.056697919964790344,0.7133040428161621,0.0010000000474974513
0.01020904816687107,0.9413596987724304,0.05907933786511421,0.7133040428161621,0.0010000000474974513
0.009750230237841606,0.9420011043548584,0.03720226138830185,0.6682242751121521,0.0010000000474974513
0.008930658921599388,0.9491478800773621,0.03237665817141533,0.7289719581604004,0.0010000000474974513
0.008405963890254498,0.951163649559021,0.04362868517637253,0.6844419836997986,0.0010000000474974513
0.00819573737680912,0.9526296257972717,0.027032215148210526,0.827102780342102,0.0010000000474974513
0.007799833081662655,0.9547370076179504,0.026418909430503845,0.8367234468460083,0.0010000000474974513
0.007360812276601791,0.957210898399353,0.05615455284714699,0.7440901398658752,0.0010000000474974513
0.0065649449825286865,0.9642660617828369,0.029954751953482628,0.8273776769638062,0.0010000000474974513
0.006356825120747089,0.9670148491859436,0.03376684710383415,0.8172072768211365,0.0010000000474974513
0.005993979051709175,0.9684808254241943,0.052970923483371735,0.7630566358566284,0.0010000000474974513
